fighter_name,dob,source_name,source_url,source_note
Andrey Pulyaev,"Sep 10, 1997",UFCStats,http://ufcstats.com/fighter-details/22e07d3da1aa3475,UFCStats fighter list did not expose this fighter page; event fight page did
Brando Pericic,"Aug 03, 1994",UFCStats,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7,UFCStats fighter list did not expose this fighter page; event fight page did
Chris Padilla,"Sep 14, 1995",UFCStats,http://ufcstats.com/fighter-details/06626b6287e1ae1e,UFCStats fighter list did not expose this fighter page; event fight page did
Jose Ochoa,"Dec 31, 2000",UFCStats,http://ufcstats.com/fighter-details/88be62d6c1e6dadb,UFCStats fighter list did not expose this fighter page; event fight page did
Josh Hokit,"Nov 12, 1997",UFCStats,http://ufcstats.com/fighter-details/955da1675ad58a50,UFCStats fighter list did not expose this fighter page; event fight page did
Kaan Ofli,"Jun 19, 1993",UFCStats,http://ufcstats.com/fighter-details/7facc9c45d792985,UFCStats fighter list did not expose this fighter page; event fight page did
Myktybek Orolbai,"Feb 10, 1998",UFCStats,http://ufcstats.com/fighter-details/bf2c8e01b07d3eb1,UFCStats fighter list did not expose this fighter page; event fight page did
